workload,i,j,intersects,dec_vert,dec_bytes,total_vert,cert_level_r,cert_level_s,eta_star,band_b,band_w,mbr_gap,size_v,margin,abs_margin,log_abs_margin,phi_pair,family
tiger_06075_d0.25,20,20,1,20,92,164,2,2,8.769291231192816e-05,88,0.000845601561015492,0.0,164,0.00011824789526064836,0.00011824789526064836,-3.927206577021601,0.12195121951219512,tiger
tiger_06075_d0.25,21,21,1,104,536,550,0,0,0.019484509027152958,544,0.01774308499406956,0.0,550,0.037711963721844134,0.037711963721844134,-1.4235208525906518,0.1890909090909091,tiger
tiger_06075_d0.5,0,1,1,643,2957,2916,5,3,9.989629012632453e-05,82,0.005025435017272579,0.0,2916,0.0002043983415311387,0.0002043983415311387,-3.6895226302227404,0.22050754458161864,tiger
tiger_06075_d0.5,0,8,1,361,1841,2901,4,2,0.00060014881441336,92,0.01217720701221692,0.0,2901,0.0006122200537146129,0.0006122200537146129,-3.2130924481636463,0.1244398483281627,tiger
tiger_06075_d0.5,0,6,1,418,2131,3550,4,4,0.0002943828488193047,78,0.011541781512017697,0.0,3550,0.0006193652732857206,0.0006193652732857206,-3.208053147718107,0.11774647887323944,tiger
tiger_06075_d0.5,0,0,1,36,225,5702,0,0,0.013814410862136972,5675,0.013813833495455433,0.0,5702,0.027330559733244775,0.027330559733244775,-1.5633514737956464,0.006313574184496668,tiger
tiger_06075_d0.5,1,1,1,74,308,130,4,3,8.473059771811872e-05,48,0.0018283159910553446,0.0,130,5.999940768877773e-05,5.999940768877773e-05,-4.221853029690796,0.5692307692307692,tiger
tiger_06075_d0.5,2,2,1,10,66,796,1,1,0.0008167360090014724,697,0.003128511626957685,0.0,796,0.0003535629698531931,0.0003535629698531931,-3.4515332255487277,0.01256281407035176,tiger
tiger_06075_d0.5,6,16,1,84,444,1362,4,2,0.000873291490811435,159,0.011803983010572726,0.0,1362,0.0006224380501705045,0.0006224380501705045,-3.205903865715909,0.06167400881057269,tiger
tiger_06075_d0.5,6,6,1,10,68,1398,0,0,0.009643831910200368,1344,0.009643831910200368,0.0,1398,0.016236361319768904,0.016236361319768904,-1.7895112925438328,0.00715307582260372,tiger
tiger_06075_d0.5,8,8,1,14,84,100,3,3,0.00015921754854685932,72,0.010734932370540571,0.0,100,0.00039412125634356003,0.00039412125634356003,-3.404370140374092,0.14,tiger
tiger_06075_d0.5,10,10,1,224,864,224,3,3,0.0,32,0.00064697919616489,0.0,224,1.1975039475358078e-05,1.1975039475358078e-05,-4.921723010005678,1.0,tiger
tiger_06075_d0.5,13,13,1,16,79,100,2,1,8.300101424649414e-05,28,0.00034313724805243724,0.0,100,0.00017849120890575743,0.00017849120890575743,-3.7483831665737637,0.16,tiger
tiger_06075_d0.5,14,14,1,23,112,168,2,1,9.425606432905291e-05,57,0.00042802775449806357,0.0,168,9.511307325589901e-05,9.511307325589901e-05,-4.0217597807816245,0.13690476190476192,tiger
tiger_06075_d0.5,16,16,1,28,160,1326,0,0,0.014447992894468055,1305,0.014447992894461333,0.0,1326,0.034039254925327354,0.034039254925327354,-1.4680199546076025,0.021116138763197588,tiger
tiger_06075_d0.5,18,18,1,30,159,386,2,0,0.0006345816406469837,250,0.0006587171829322351,0.0,386,0.0002319223170338209,0.0002319223170338209,-3.6346574569137253,0.07772020725388601,tiger
tiger_06075_d0.5,21,21,1,104,536,550,0,0,0.019484509027152958,543,0.01774308499406956,0.0,550,0.03742844304845571,0.03742844304845571,-1.4267982383168785,0.1890909090909091,tiger
tiger_06075_d1.0,0,1,1,360,1833,2916,4,1,0.0003119196823483479,79,0.005025435017286462,0.0,2916,0.00040736342333575555,0.00040736342333575555,-3.3900179672903032,0.12345679012345678,tiger
tiger_06075_d1.0,0,8,1,361,1841,2901,4,2,0.00060014881441336,130,0.012177207012210811,0.0,2901,0.0006124076519813539,0.0006124076519813539,-3.2129593907582232,0.1244398483281627,tiger
tiger_06075_d1.0,0,6,1,199,1118,3550,3,3,0.0009792761544778056,125,0.011541781512017697,0.0,3550,0.0012962810264488137,0.0012962810264488137,-2.8873008353176273,0.05605633802816901,tiger
tiger_06075_d1.0,0,0,1,36,225,5702,0,0,0.013814410862136972,5655,0.013813833495455433,0.0,5702,0.02682523706025904,0.02682523706025904,-1.5714564313772301,0.006313574184496668,tiger
tiger_06075_d1.0,2,2,1,44,230,796,4,3,0.00023781781239442634,619,0.003128511626957685,0.0,796,0.00019643017584392686,0.00019643017584392686,-3.7067917923634184,0.05527638190954774,tiger
tiger_06075_d1.0,5,18,1,243,952,243,2,4,0.0,51,0.0005799737906627108,0.0,243,3.147667951634438e-05,3.147667951634438e-05,-4.502011073944739,1.0,tiger
tiger_06075_d1.0,6,16,1,40,232,1362,3,2,0.0009107045299090049,181,0.011803983010578218,0.0,1362,0.0012449120606066741,0.0012449120606066741,-2.9048613252813493,0.02936857562408223,tiger
tiger_06075_d1.0,6,6,1,10,68,1398,0,0,0.009643831910200368,1315,0.009643831910200368,0.0,1398,0.016053957136162395,0.016053957136162395,-1.7944179008907462,0.00715307582260372,tiger
tiger_06075_d1.0,8,8,1,16,92,100,4,3,0.00015921754854685932,57,0.010734932370535185,0.0,100,7.772120959729836e-05,7.772120959729836e-05,-4.109460443383219,0.16,tiger
tiger_06075_d1.0,16,16,1,28,160,1326,0,0,0.014447992894468055,1291,0.014447992894468055,0.0,1326,0.03336288740015735,0.03336288740015735,-1.4767363702607685,0.021116138763197588,tiger
tiger_06075_d1.0,18,18,1,30,159,386,2,0,0.0006345816406469837,164,0.0006587171829322351,0.0,386,9.130796141650623e-05,9.130796141650623e-05,-4.039491348612801,0.07772020725388601,tiger
tiger_06075_d1.0,21,21,1,104,536,550,0,0,0.019484509027152958,540,0.01774308499406956,0.0,550,0.03686422900990652,0.03686422900990652,-1.4333948446256681,0.1890909090909091,tiger
